Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Transaction_Amount_Was_Missing,Satisfaction_Score,Feedback_Comments,Likelihood_to_Recommend,Is_Weekend,Transaction_Amount_Log,Total_Transactions,Avg_Transaction_Amount,Avg_Satisfaction_Score,Recommend_Ratio
393,2023-01-01 00:00:00,3472.0,Purchase,0,1.0,Excellent,3,True,8.152774052744075,7,3195.0,1.0,0.3
826,2023-01-01 01:00:00,3094.7264646464646,Bill Payment,0,6.0,Needs improvement,3,True,8.037777879594037,18,2513.5754882154883,6.166666666666667,0.3
826,2023-01-01 01:00:00,3094.7264646464646,Bill Payment,0,10.0,Good service,5,True,8.037777879594037,18,2513.5754882154883,6.166666666666667,0.5
826,2023-01-01 01:00:00,3094.7264646464646,Bill Payment,0,6.0,Unsatisfactory,8,True,8.037777879594037,18,2513.5754882154883,6.166666666666667,0.8
826,2023-01-01 01:00:00,3094.7264646464646,Bill Payment,0,3.0,Unsatisfactory,4,True,8.037777879594037,18,2513.5754882154883,6.166666666666667,0.4
826,2023-01-01 01:00:00,3094.7264646464646,Bill Payment,0,3.0,Very satisfied,10,True,8.037777879594037,18,2513.5754882154883,6.166666666666667,1.0
826,2023-01-01 01:00:00,3094.7264646464646,Bill Payment,0,9.0,Needs improvement,3,True,8.037777879594037,18,2513.5754882154883,6.166666666666667,0.3
916,2023-01-01 02:00:00,10.0,Purchase,0,6.0,Needs improvement,3,True,2.3978952727983707,63,2045.111111111111,2.7142857142857144,0.3
916,2023-01-01 02:00:00,10.0,Purchase,0,1.0,Unsatisfactory,7,True,2.3978952727983707,63,2045.111111111111,2.7142857142857144,0.7
916,2023-01-01 02:00:00,10.0,Purchase,0,2.0,Good service,10,True,2.3978952727983707,63,2045.111111111111,2.7142857142857144,1.0
916,2023-01-01 02:00:00,10.0,Purchase,0,3.0,Unsatisfactory,7,True,2.3978952727983707,63,2045.111111111111,2.7142857142857144,0.7
916,2023-01-01 02:00:00,10.0,Purchase,0,1.0,Excellent,2,True,2.3978952727983707,63,2045.111111111111,2.7142857142857144,0.2
916,2023-01-01 02:00:00,10.0,Purchase,0,1.0,Needs improvement,1,True,2.3978952727983707,63,2045.111111111111,2.7142857142857144,0.1
916,2023-01-01 02:00:00,10.0,Purchase,0,5.0,Needs improvement,5,True,2.3978952727983707,63,2045.111111111111,2.7142857142857144,0.5
109,2023-01-01 03:00:00,72.0,Investment,0,3.0,Good service,9,True,4.290459441148391,15,1498.4,3.0,0.9
109,2023-01-01 03:00:00,72.0,Investment,0,2.0,Needs improvement,5,True,4.290459441148391,15,1498.4,3.0,0.5
109,2023-01-01 03:00:00,72.0,Investment,0,4.0,Good service,7,True,4.290459441148391,15,1498.4,3.0,0.7
889,2023-01-01 04:00:00,1793.0,Investment,0,8.0,Very satisfied,3,True,7.492203042618741,15,2139.5754882154883,5.0,0.3
889,2023-01-01 04:00:00,1793.0,Investment,0,3.0,Very satisfied,4,True,7.492203042618741,15,2139.5754882154883,5.0,0.4
889,2023-01-01 04:00:00,1793.0,Investment,0,8.0,Good service,4,True,7.492203042618741,15,2139.5754882154883,5.0,0.4
889,2023-01-01 04:00:00,1793.0,Investment,0,1.0,Good service,9,True,7.492203042618741,15,2139.5754882154883,5.0,0.9
889,2023-01-01 04:00:00,1793.0,Investment,0,5.0,Good service,8,True,7.492203042618741,15,2139.5754882154883,5.0,0.8
348,2023-01-01 05:00:00,3824.0,Loan Payment,0,6.0,Unsatisfactory,8,True,8.249313746260636,30,2410.5,5.0,0.8
348,2023-01-01 05:00:00,3824.0,Loan Payment,0,1.0,Good service,10,True,8.249313746260636,30,2410.5,5.0,1.0
348,2023-01-01 05:00:00,3824.0,Loan Payment,0,8.0,Good service,4,True,8.249313746260636,30,2410.5,5.0,0.4
348,2023-01-01 05:00:00,3824.0,Loan Payment,0,8.0,Good service,7,True,8.249313746260636,30,2410.5,5.0,0.7
348,2023-01-01 05:00:00,3824.0,Loan Payment,0,2.0,Needs improvement,10,True,8.249313746260636,30,2410.5,5.0,1.0
50,2023-01-01 06:00:00,235.0,Loan Payment,0,6.0,Unsatisfactory,4,True,5.4638318050256105,18,1288.3333333333333,5.0,0.4
50,2023-01-01 06:00:00,235.0,Loan Payment,0,3.0,Excellent,4,True,5.4638318050256105,18,1288.3333333333333,5.0,0.4
50,2023-01-01 06:00:00,235.0,Loan Payment,0,6.0,Good service,4,True,5.4638318050256105,18,1288.3333333333333,5.0,0.4
916,2023-01-01 07:00:00,1052.0,Loan Payment,0,6.0,Needs improvement,3,True,6.959398512133975,63,2045.111111111111,2.7142857142857144,0.3
916,2023-01-01 07:00:00,1052.0,Loan Payment,0,1.0,Unsatisfactory,7,True,6.959398512133975,63,2045.111111111111,2.7142857142857144,0.7
916,2023-01-01 07:00:00,1052.0,Loan Payment,0,2.0,Good service,10,True,6.959398512133975,63,2045.111111111111,2.7142857142857144,1.0
916,2023-01-01 07:00:00,1052.0,Loan Payment,0,3.0,Unsatisfactory,7,True,6.959398512133975,63,2045.111111111111,2.7142857142857144,0.7
916,2023-01-01 07:00:00,1052.0,Loan Payment,0,1.0,Excellent,2,True,6.959398512133975,63,2045.111111111111,2.7142857142857144,0.2
916,2023-01-01 07:00:00,1052.0,Loan Payment,0,1.0,Needs improvement,1,True,6.959398512133975,63,2045.111111111111,2.7142857142857144,0.1
916,2023-01-01 07:00:00,1052.0,Loan Payment,0,5.0,Needs improvement,5,True,6.959398512133975,63,2045.111111111111,2.7142857142857144,0.5
105,2023-01-01 08:00:00,854.0,Purchase,0,8.0,Good service,4,True,6.75110146893676,63,1787.857142857143,6.0,0.4
105,2023-01-01 08:00:00,854.0,Purchase,0,3.0,Unsatisfactory,2,True,6.75110146893676,63,1787.857142857143,6.0,0.2
105,2023-01-01 08:00:00,854.0,Purchase,0,9.0,Excellent,4,True,6.75110146893676,63,1787.857142857143,6.0,0.4
105,2023-01-01 08:00:00,854.0,Purchase,0,10.0,Very satisfied,10,True,6.75110146893676,63,1787.857142857143,6.0,1.0
105,2023-01-01 08:00:00,854.0,Purchase,0,4.0,Needs improvement,1,True,6.75110146893676,63,1787.857142857143,6.0,0.1
105,2023-01-01 08:00:00,854.0,Purchase,0,3.0,Needs improvement,6,True,6.75110146893676,63,1787.857142857143,6.0,0.6
105,2023-01-01 08:00:00,854.0,Purchase,0,1.0,Good service,4,True,6.75110146893676,63,1787.857142857143,6.0,0.4
105,2023-01-01 08:00:00,854.0,Purchase,0,6.0,Good service,2,True,6.75110146893676,63,1787.857142857143,6.0,0.2
105,2023-01-01 08:00:00,854.0,Purchase,0,10.0,Very satisfied,6,True,6.75110146893676,63,1787.857142857143,6.0,0.6
420,2023-01-01 09:00:00,2690.0,Investment,0,5.0,Good service,8,True,7.897668150726906,45,1971.8584960718292,5.0,0.8
420,2023-01-01 09:00:00,2690.0,Investment,0,7.0,Good service,6,True,7.897668150726906,45,1971.8584960718292,5.0,0.6
420,2023-01-01 09:00:00,2690.0,Investment,0,1.0,Good service,6,True,7.897668150726906,45,1971.8584960718292,5.0,0.6
420,2023-01-01 09:00:00,2690.0,Investment,0,2.0,Needs improvement,2,True,7.897668150726906,45,1971.8584960718292,5.0,0.2
420,2023-01-01 09:00:00,2690.0,Investment,0,10.0,Good service,9,True,7.897668150726906,45,1971.8584960718292,5.0,0.9
373,2023-01-01 10:00:00,4129.0,Investment,0,6.0,Needs improvement,6,True,8.326032685955079,30,3448.6,5.5,0.6
373,2023-01-01 10:00:00,4129.0,Investment,0,9.0,Good service,2,True,8.326032685955079,30,3448.6,5.5,0.2
373,2023-01-01 10:00:00,4129.0,Investment,0,7.0,Good service,3,True,8.326032685955079,30,3448.6,5.5,0.3
373,2023-01-01 10:00:00,4129.0,Investment,0,2.0,Unsatisfactory,9,True,8.326032685955079,30,3448.6,5.5,0.9
373,2023-01-01 10:00:00,4129.0,Investment,0,5.0,Good service,3,True,8.326032685955079,30,3448.6,5.5,0.3
373,2023-01-01 10:00:00,4129.0,Investment,0,4.0,Good service,2,True,8.326032685955079,30,3448.6,5.5,0.2
27,2023-01-01 11:00:00,1244.0,Investment,0,6.0,Unsatisfactory,5,True,7.126890808898808,30,34529.0,6.8,0.5
27,2023-01-01 11:00:00,1244.0,Investment,0,10.0,Needs improvement,5,True,7.126890808898808,30,34529.0,6.8,0.5
27,2023-01-01 11:00:00,1244.0,Investment,0,9.0,Needs improvement,7,True,7.126890808898808,30,34529.0,6.8,0.7
27,2023-01-01 11:00:00,1244.0,Investment,0,6.0,Unsatisfactory,1,True,7.126890808898808,30,34529.0,6.8,0.1
27,2023-01-01 11:00:00,1244.0,Investment,0,3.0,Good service,7,True,7.126890808898808,30,34529.0,6.8,0.7
968,2023-01-01 12:00:00,1994.0,Bill Payment,0,10.0,Needs improvement,4,True,7.598399329323964,10,1322.2,6.5,0.4
968,2023-01-01 12:00:00,1994.0,Bill Payment,0,3.0,Needs improvement,1,True,7.598399329323964,10,1322.2,6.5,0.1
800,2023-01-01 13:00:00,4266.0,Purchase,0,8.0,Very satisfied,10,True,8.358666283188,5,3524.0,8.0,1.0
769,2023-01-01 14:00:00,1288.0,Purchase,0,3.0,Excellent,2,True,7.161622002939187,6,1021.5,3.6666666666666665,0.2
769,2023-01-01 14:00:00,1288.0,Purchase,0,3.0,Needs improvement,7,True,7.161622002939187,6,1021.5,3.6666666666666665,0.7
769,2023-01-01 14:00:00,1288.0,Purchase,0,5.0,Unsatisfactory,8,True,7.161622002939187,6,1021.5,3.6666666666666665,0.8
273,2023-01-01 15:00:00,1604.0,Loan Payment,0,10.0,Needs improvement,7,True,7.380879035564116,70,2329.5714285714284,6.6,0.7
273,2023-01-01 15:00:00,1604.0,Loan Payment,0,6.0,Good service,2,True,7.380879035564116,70,2329.5714285714284,6.6,0.2
273,2023-01-01 15:00:00,1604.0,Loan Payment,0,7.0,Needs improvement,1,True,7.380879035564116,70,2329.5714285714284,6.6,0.1
273,2023-01-01 15:00:00,1604.0,Loan Payment,0,4.0,Needs improvement,9,True,7.380879035564116,70,2329.5714285714284,6.6,0.9
273,2023-01-01 15:00:00,1604.0,Loan Payment,0,1.0,Good service,3,True,7.380879035564116,70,2329.5714285714284,6.6,0.3
273,2023-01-01 15:00:00,1604.0,Loan Payment,0,9.0,Good service,9,True,7.380879035564116,70,2329.5714285714284,6.6,0.9
273,2023-01-01 15:00:00,1604.0,Loan Payment,0,4.0,Good service,9,True,7.380879035564116,70,2329.5714285714284,6.6,0.9
273,2023-01-01 15:00:00,1604.0,Loan Payment,0,10.0,Unsatisfactory,3,True,7.380879035564116,70,2329.5714285714284,6.6,0.3
273,2023-01-01 15:00:00,1604.0,Loan Payment,0,7.0,Unsatisfactory,9,True,7.380879035564116,70,2329.5714285714284,6.6,0.9
273,2023-01-01 15:00:00,1604.0,Loan Payment,0,8.0,Needs improvement,10,True,7.380879035564116,70,2329.5714285714284,6.6,1.0
649,2023-01-01 16:00:00,2561.0,Bill Payment,0,10.0,Unsatisfactory,2,True,7.848543482456679,121,18004.545454545456,5.545454545454546,0.2
649,2023-01-01 16:00:00,2561.0,Bill Payment,0,5.0,Good service,8,True,7.848543482456679,121,18004.545454545456,5.545454545454546,0.8
649,2023-01-01 16:00:00,2561.0,Bill Payment,0,1.0,Good service,2,True,7.848543482456679,121,18004.545454545456,5.545454545454546,0.2
649,2023-01-01 16:00:00,2561.0,Bill Payment,0,6.0,Needs improvement,8,True,7.848543482456679,121,18004.545454545456,5.545454545454546,0.8
